Output for one vs all :

output for rbf:

c= 2 ;gamma= 2 ;score= 0.7741935483870968
c= 2 ;gamma= 8 ;score= 0.8064516129032258
c= 2 ;gamma= 32 ;score= 0.5483870967741935
c= 2 ;gamma= 16 ;score= 0.7096774193548387
c= 2 ;gamma= 64 ;score= 0.5806451612903226
c= 2 ;gamma= 128 ;score= 0.42857142857142855
c= 2 ;gamma= 16 ;score= 0.7096774193548387
c= 4 ;gamma= 3.0517578125e-05 ;score= 0.6451612903225806
c= 4 ;gamma= 0.0001220703125 ;score= 0.6129032258064516
c= 4 ;gamma= 0.00048828125 ;score= 0.6129032258064516
c= 4 ;gamma= 0.001953125 ;score= 0.6451612903225806
c= 4 ;gamma= 0.0078125 ;score= 0.6774193548387096
c= 4 ;gamma= 0.03125 ;score= 0.6571428571428571
c= 4 ;gamma= 0.125 ;score= 0.7419354838709677
c= 4 ;gamma= 0.5 ;score= 0.7714285714285715
c= 4 ;gamma= 2 ;score= 0.7741935483870968
c= 4 ;gamma= 8 ;score= 0.7419354838709677
c= 4 ;gamma= 32 ;score= 0.5714285714285714
c= 4 ;gamma= 16 ;score= 0.6857142857142857
c= 4 ;gamma= 64 ;score= 0.5806451612903226
c= 4 ;gamma= 128 ;score= 0.42857142857142855
c= 4 ;gamma= 16 ;score= 0.6857142857142857
c= 8 ;gamma= 3.0517578125e-05 ;score= 0.6451612903225806
c= 8 ;gamma= 0.0001220703125 ;score= 0.6129032258064516
c= 8 ;gamma= 0.00048828125 ;score= 0.6129032258064516
c= 8 ;gamma= 0.001953125 ;score= 0.6451612903225806
c= 8 ;gamma= 0.0078125 ;score= 0.7096774193548387
c= 8 ;gamma= 0.03125 ;score= 0.7096774193548387
c= 8 ;gamma= 0.125 ;score= 0.7419354838709677
c= 8 ;gamma= 0.5 ;score= 0.7714285714285715
c= 8 ;gamma= 2 ;score= 0.7741935483870968
c= 8 ;gamma= 8 ;score= 0.7419354838709677
c= 8 ;gamma= 32 ;score= 0.5714285714285714
c= 8 ;gamma= 16 ;score= 0.6857142857142857
c= 8 ;gamma= 64 ;score= 0.5806451612903226
c= 8 ;gamma= 128 ;score= 0.42857142857142855
c= 8 ;gamma= 16 ;score= 0.6857142857142857
c= 16 ;gamma= 3.0517578125e-05 ;score= 0.6129032258064516
c= 16 ;gamma= 0.0001220703125 ;score= 0.6129032258064516
c= 16 ;gamma= 0.00048828125 ;score= 0.6129032258064516
c= 16 ;gamma= 0.001953125 ;score= 0.6774193548387096
c= 16 ;gamma= 0.0078125 ;score= 0.7096774193548387
c= 16 ;gamma= 0.03125 ;score= 0.7096774193548387
c= 16 ;gamma= 0.125 ;score= 0.7297297297297297
c= 16 ;gamma= 0.5 ;score= 0.7567567567567568
c= 16 ;gamma= 2 ;score= 0.7837837837837838
c= 16 ;gamma= 8 ;score= 0.7419354838709677
c= 16 ;gamma= 32 ;score= 0.5714285714285714
c= 16 ;gamma= 16 ;score= 0.6857142857142857
c= 16 ;gamma= 64 ;score= 0.5806451612903226
c= 16 ;gamma= 128 ;score= 0.42857142857142855
c= 16 ;gamma= 16 ;score= 0.6857142857142857
c= 32 ;gamma= 3.0517578125e-05 ;score= 0.6129032258064516
c= 32 ;gamma= 0.0001220703125 ;score= 0.6129032258064516
c= 32 ;gamma= 0.00048828125 ;score= 0.6451612903225806
c= 32 ;gamma= 0.001953125 ;score= 0.6451612903225806
c= 32 ;gamma= 0.0078125 ;score= 0.7027027027027027
c= 32 ;gamma= 0.03125 ;score= 0.7096774193548387
c= 32 ;gamma= 0.125 ;score= 0.7096774193548387
c= 32 ;gamma= 0.5 ;score= 0.7714285714285715
c= 32 ;gamma= 2 ;score= 0.7567567567567568
c= 32 ;gamma= 8 ;score= 0.7419354838709677
c= 32 ;gamma= 32 ;score= 0.5714285714285714
c= 32 ;gamma= 16 ;score= 0.6857142857142857
c= 32 ;gamma= 64 ;score= 0.5806451612903226
c= 32 ;gamma= 128 ;score= 0.42857142857142855
c= 32 ;gamma= 16 ;score= 0.6857142857142857
c= 64 ;gamma= 3.0517578125e-05 ;score= 0.6129032258064516
c= 64 ;gamma= 0.0001220703125 ;score= 0.6129032258064516
c= 64 ;gamma= 0.00048828125 ;score= 0.6285714285714286
c= 64 ;gamma= 0.001953125 ;score= 0.6774193548387096
c= 64 ;gamma= 0.0078125 ;score= 0.7419354838709677
c= 64 ;gamma= 0.03125 ;score= 0.7419354838709677
c= 64 ;gamma= 0.125 ;score= 0.7096774193548387
c= 64 ;gamma= 0.5 ;score= 0.7837837837837838
c= 64 ;gamma= 2 ;score= 0.7297297297297297
c= 64 ;gamma= 8 ;score= 0.7419354838709677
c= 64 ;gamma= 32 ;score= 0.5714285714285714
c= 64 ;gamma= 16 ;score= 0.6857142857142857
c= 64 ;gamma= 64 ;score= 0.5806451612903226
c= 64 ;gamma= 128 ;score= 0.42857142857142855
c= 64 ;gamma= 16 ;score= 0.6857142857142857
c= 128 ;gamma= 3.0517578125e-05 ;score= 0.6129032258064516
c= 128 ;gamma= 0.0001220703125 ;score= 0.6451612903225806
c= 128 ;gamma= 0.00048828125 ;score= 0.6285714285714286
c= 128 ;gamma= 0.001953125 ;score= 0.7096774193548387
c= 128 ;gamma= 0.0078125 ;score= 0.7419354838709677
c= 128 ;gamma= 0.03125 ;score= 0.7419354838709677
c= 128 ;gamma= 0.125 ;score= 0.7297297297297297
c= 128 ;gamma= 0.5 ;score= 0.7428571428571429
c= 128 ;gamma= 2 ;score= 0.7297297297297297
c= 128 ;gamma= 8 ;score= 0.7419354838709677
c= 128 ;gamma= 32 ;score= 0.5714285714285714
c= 128 ;gamma= 16 ;score= 0.6857142857142857
c= 128 ;gamma= 64 ;score= 0.5806451612903226
c= 128 ;gamma= 128 ;score= 0.42857142857142855
c= 128 ;gamma= 16 ;score= 0.6857142857142857
c= 256 ;gamma= 3.0517578125e-05 ;score= 0.6129032258064516
c= 256 ;gamma= 0.0001220703125 ;score= 0.6285714285714286
c= 256 ;gamma= 0.00048828125 ;score= 0.6285714285714286
